Wall time,Step,Value
1504857175.615604,0,0.33719998598098755
1504857223.066436,1,0.39750000834465027
1504857270.579337,2,0.42340001463890076
1504857318.020248,3,0.4471000134944916
1504857365.542559,4,0.46129998564720154
1504857412.313184,5,0.4722999930381775
1504857459.418434,6,0.4848000109195709
1504857506.667711,7,0.4975999891757965
1504857558.806714,8,0.5142999887466431
1504857613.404521,9,0.5214999914169312
1504857667.973033,10,0.5274999737739563
1504857722.531143,11,0.5406000018119812
1504857777.198643,12,0.5418000221252441
1504857831.771474,13,0.5529000163078308
1504857886.252455,14,0.5547999739646912
1504857941.104608,15,0.5656999945640564
1504857995.700842,16,0.5716999769210815
1504858050.335338,17,0.5771999955177307
1504858104.939603,18,0.5831999778747559
1504858154.210132,19,0.588699996471405
1504858200.944135,20,0.5940999984741211
1504858247.68923,21,0.5976999998092651
1504858294.78209,22,0.600600004196167
1504858342.180007,23,0.60589998960495
1504858390.22478,24,0.6097000241279602
1504858437.096672,25,0.614300012588501
1504858485.116343,26,0.6183000206947327
1504858532.560339,27,0.6205000281333923
1504858579.689594,28,0.6255999803543091
1504858626.694968,29,0.6301000118255615
1504858673.239806,30,0.6308000087738037
1504858720.228572,31,0.6338000297546387
1504858766.570551,32,0.6380000114440918
1504858812.482585,33,0.6407999992370605
1504858858.010918,34,0.6434000134468079
1504858904.005168,35,0.6474000215530396
1504858950.422836,36,0.6514999866485596
1504858997.093473,37,0.6509000062942505
1504859043.299964,38,0.6545000076293945
1504859089.454386,39,0.6577000021934509
1504859135.936702,40,0.659500002861023
1504859182.699031,41,0.660099983215332
1504859229.712145,42,0.6618000268936157
1504859276.542155,43,0.6650000214576721
1504859323.907063,44,0.6676999926567078
1504859372.082105,45,0.667900025844574
1504859420.113742,46,0.6725999712944031
1504859467.892395,47,0.6722000241279602
1504859514.465185,48,0.6776999831199646
1504859562.711492,49,0.6776000261306763
1504859611.096065,50,0.6728000044822693
1504859658.248689,51,0.6789000034332275
1504859704.447634,52,0.6818000078201294
1504859752.758881,53,0.6834999918937683
1504859800.746407,54,0.6858999729156494
1504859848.86735,55,0.6862999796867371
1504859896.578082,56,0.6894999742507935
1504859943.39799,57,0.6884999871253967
1504859989.004344,58,0.6937000155448914
1504860031.192472,59,0.6919999718666077
1504860077.509996,60,0.6872000098228455
1504860124.151187,61,0.695900022983551
1504860171.125381,62,0.6980000138282776
1504860219.539134,63,0.6984999775886536
