Wall time,Step,Value
1504857173.004194,0,2.1656596660614014
1504857220.458741,1,1.8858625888824463
1504857267.997091,2,1.7709139585494995
1504857315.416405,3,1.6899737119674683
1504857362.907527,4,1.62395441532135
1504857409.701969,5,1.5748322010040283
1504857456.814215,6,1.5321022272109985
1504857504.098265,7,1.4972715377807617
1504857555.710091,8,1.464502215385437
1504857610.341412,9,1.4381365776062012
1504857664.874883,10,1.4099199771881104
1504857719.405159,11,1.3901385068893433
1504857774.023531,12,1.360825538635254
1504857828.740574,13,1.3447234630584717
1504857883.238486,14,1.3281275033950806
1504857938.12308,15,1.3037006855010986
1504857992.759591,16,1.2890739440917969
1504858047.114773,17,1.2685495615005493
1504858101.735208,18,1.2557454109191895
1504858151.664949,19,1.2331717014312744
1504858198.317173,20,1.2183914184570312
1504858245.078772,21,1.2072179317474365
1504858292.111038,22,1.1922003030776978
1504858339.495101,23,1.1753968000411987
1504858387.552642,24,1.1582756042480469
1504858434.409622,25,1.1483808755874634
1504858482.467905,26,1.1389153003692627
1504858529.914477,27,1.1281726360321045
1504858577.034627,28,1.1127214431762695
1504858624.130584,29,1.105088233947754
1504858670.618702,30,1.097680926322937
1504858717.667522,31,1.0852291584014893
1504858764.077377,32,1.0759152173995972
1504858809.787407,33,1.058008074760437
1504858855.427066,34,1.0511271953582764
1504858901.404455,35,1.045082449913025
1504858947.897015,36,1.0336222648620605
1504858994.436092,37,1.0246065855026245
1504859040.807891,38,1.0130976438522339
1504859086.950077,39,1.005573034286499
1504859133.293651,40,1.0005522966384888
1504859180.192443,41,0.9927858710289001
1504859227.018287,42,0.9825865030288696
1504859273.798694,43,0.9787811636924744
1504859321.201138,44,0.9709334969520569
1504859369.394321,45,0.961901843547821
1504859417.437181,46,0.9493786096572876
1504859465.222114,47,0.941196858882904
1504859511.753912,48,0.9377447962760925
1504859559.975624,49,0.9335207343101501
1504859608.340654,50,0.9228030443191528
1504859655.543491,51,0.9177824854850769
1504859701.652979,52,0.9109714031219482
1504859750.024781,53,0.9026443958282471
1504859798.116303,54,0.898457407951355
1504859846.220554,55,0.8897867798805237
1504859893.882569,56,0.8865962028503418
1504859940.877879,57,0.879866361618042
1504859986.478653,58,0.8717394471168518
1504860028.691386,59,0.8642159104347229
1504860074.960806,60,0.8619081377983093
1504860121.612433,61,0.8510869741439819
1504860168.386232,62,0.8513224124908447
1504860216.794517,63,0.8477823138237
1504860265.598654,64,0.8379468321800232
1504860312.904377,65,0.8333719968795776
1504860361.689193,66,0.8234238028526306
1504860410.240935,67,0.8221328258514404
1504860457.789045,68,0.8168531656265259
1504860504.494489,69,0.8131341338157654
1504860552.362824,70,0.8081892132759094
1504860600.380336,71,0.8049384951591492
1504860648.317828,72,0.7945282459259033
1504860695.760284,73,0.7904506325721741
1504860743.170965,74,0.7812871932983398
1504860790.166734,75,0.7755746245384216
1504860837.95506,76,0.7754849791526794
1504860885.330472,77,0.7718531489372253
1504860932.099527,78,0.7677233219146729
1504860978.731801,79,0.7607947587966919
1504861025.6176,80,0.7570072412490845
1504861071.986388,81,0.7537265419960022
1504861117.961773,82,0.7463103532791138
1504861163.927187,83,0.7452766299247742
1504861209.499511,84,0.7392146587371826
1504861255.200561,85,0.7325575947761536
1504861301.913608,86,0.7316635251045227
1504861348.654818,87,0.7266266942024231
1504861395.591713,88,0.7254127264022827
1504861442.50357,89,0.7173509001731873
1504861489.200237,90,0.7133017182350159
1504861535.983753,91,0.7112055420875549
1504861582.950534,92,0.702518105506897
1504861627.956188,93,0.7013824582099915
1504861674.366903,94,0.6989168524742126
1504861722.091453,95,0.6934159398078918
1504861768.05436,96,0.6911402940750122
1504861815.559931,97,0.6828875541687012
1504861861.99822,98,0.6794314384460449
1504861908.300582,99,0.6735284328460693
1504861955.862418,100,0.6717828512191772
1504862002.071017,101,0.6675362586975098
1504862047.819637,102,0.6622139811515808
1504862094.614693,103,0.6633230447769165
1504862140.958565,104,0.6584600806236267
1504862187.372058,105,0.647344708442688
1504862234.42247,106,0.6476978063583374
1504862281.880898,107,0.640869140625
1504862330.004014,108,0.6388075351715088
1504862381.79063,109,0.6386661529541016
1504862433.515133,110,0.6331843733787537
1504862484.936322,111,0.6283374428749084
1504862536.095054,112,0.6262398958206177
1504862587.911241,113,0.6239666938781738
1504862639.855571,114,0.6181858777999878
1504862692.096774,115,0.6160862445831299
1504862743.479926,116,0.615355372428894
1504862794.649013,117,0.6040995717048645
1504862846.044865,118,0.6072717308998108
1504862897.073206,119,0.602256715297699
1504862956.628555,120,0.5974489450454712
1504863014.875233,121,0.5973023772239685
